127.0.0.1 - - [21/Oct/2018:23:26:34 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:26:36 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:28:55 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:30:07 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:30:31 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:34:49 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:35:04 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:35:23 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:35:44 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:36:02 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:36:18 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:36:37 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:36:49 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:37:22 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:39:25 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:39:26 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:40:01 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:40:56 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:41:18 +0530] "GET /FirstWebProject/EmployeeServlet?eid=Is1111&ename=Ishanya&age=23&salary=40000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:45:34 +0530] "GET /FirstWebProject/Employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:45:51 +0530] "GET /FirstWebProject/EmployeeServlet?eid=Is1111&ename=Ishanya&age=23&salary=700000 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:23:46:14 +0530] "GET /FirstWebProject/EmployeeServlet?eid=Is1110&ename=Ishanya&age=23&salary=700000 HTTP/1.1" 200 18
